|NAME                     |ADDRESS                  |CONSUMER_COUNT |MESSAGE_COUNT |MESSAGES_ADDED |DELIVERING_COUNT |MESSAGES_ACKED |
|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.A.RS.Queue|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.A.RS.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.B.RS.Queue|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.B.RS.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.RQ.Queue|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.RQ.Queue|0              |0             |0              |0                |0              |
|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.RS.Queue|CAPI.INT.SG.APIPROCESSOR.ACCESSTOKEN.RS.Queue|0              |0             |0              |0                |0              |
|DLQ                      |DLQ                      |0              |0             |0              |0                |0              |
|DUMMY.TEST.JIRA.APP.SOI3 |DUMMY.TEST.JIRA.APP.SOI3 |0              |0             |0              |0                |0              |
|ESB.REQ.INT.ISMOSG_SVC6_FW1_4_V1|ESB.REQ.INT.ISMOSG_SVC6_FW1_4_V1|0              |0             |0              |0                |0              |
|ESB.REQ.INT.ISMPSG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|ESB.REQ.INT.ISMPSG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMO|ESB.REQ.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMO|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMP|ESB.REQ.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMP|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.REFERENCEDATA.PARTY.PARTYDATAMANAGEMENT.V4_4.ISMO|ESB.REQ.INT.SG.REFERENCEDATA.PARTY.PARTYDATAMANAGEMENT.V4_4.ISMO|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.REFERENCEDATA.PARTY.PARTYPROFILE.V1_1|ESB.REQ.INT.SG.REFERENCEDATA.PARTY.PARTYPROFILE.V1_1|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_1|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_1|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_3|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_3|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.PROSPECTMANAGEMENT.V1_1|ESB.REQ.INT.SG.SALESANDSERVICES.SALES.PROSPECTMANAGEMENT.V1_1|0              |0             |0              |0                |0              |
|ESB.REQ.INT.SG.SALESANDSERVICES.SERVICING.SERVICINGISSUE.V1_1|ESB.REQ.INT.SG.SALESANDSERVICES.SERVICING.SERVICINGISSUE.V1_1|0              |0             |0              |0                |0              |
|ESB.RES.INT.ISMOSG_SVC6_FW1_4_V1|ESB.RES.INT.ISMOSG_SVC6_FW1_4_V1|0              |0             |0              |0                |0              |
|ESB.RES.INT.ISMPSG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|ESB.RES.INT.ISMPSG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMO|ESB.RES.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMO|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMP|ESB.RES.INT.SG.CROSSPRODUCTOPERATIONS.ACCOUNTMANAGEMENT.POSITIONMANAGEMENT.V1_0.ISMP|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.REFERENCEDATA.PARTY.PARTYDATAMANAGEMENT.V4_4.ISMO|ESB.RES.INT.SG.REFERENCEDATA.PARTY.PARTYDATAMANAGEMENT.V4_4.ISMO|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.REFERENCEDATA.PARTY.PARTYPROFILE.V1_1|ESB.RES.INT.SG.REFERENCEDATA.PARTY.PARTYPROFILE.V1_1|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|ESB.RES.INT.SG.SALESANDSERVICES.SALES.ACTIVITYMANAGEMENT.V1_4|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_1|ESB.RES.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_1|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_3|ESB.RES.INT.SG.SALESANDSERVICES.SALES.LEAD_OPPORTUNITYMANAGEMENT.V1_3|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.SALESANDSERVICES.SALES.PROSPECTMANAGEMENT.V1_1|ESB.RES.INT.SG.SALESANDSERVICES.SALES.PROSPECTMANAGEMENT.V1_1|0              |0             |0              |0                |0              |
|ESB.RES.INT.SG.SALESANDSERVICES.SERVICING.SERVICINGISSUE.V1_1|ESB.RES.INT.SG.SALESANDSERVICES.SERVICING.SERVICINGISSUE.V1_1|0              |0             |0              |0                |0              |
|ESB.RES.Testing          |ESB.RES.Testing          |0              |0             |0              |0                |0              |
|ESB.RES.Testing_1234     |ESB.RES.Testing_1234     |0              |0             |0              |0                |0              |
|ExpiryQueue              |ExpiryQueue              |0              |0             |0              |0                |0              |
|PARTYDEVICE.DATAMANAGEMENT.SG.V2.0|PARTYDEVICE.DATAMANAGEMENT.SG.V2.0|0              |0             |0              |0                |0              |
|PARTYDEVICE.DATAMANAGEMENT.TERMINATE.SG.RETRY.V2.0|PARTYDEVICE.DATAMANAGEMENT.TERMINATE.SG.RETRY.V2.0|0              |0             |0              |0                |0              |
|PARTYDEVICE.DATAMANAGEMENT.TERMINATE.SG.V2.0|PARTYDEVICE.DATAMANAGEMENT.TERMINATE.SG.V2.0|0              |0             |0              |0                |0              |
|RA.TEST.21               |RA.TEST.21               |0              |0             |0              |0                |0              |
|SOI.BATCHREQ.INT.SG.ALERTSVC.V1_0|SOI.BATCHREQ.INT.SG.ALERTSVC.V1_0|0              |0             |0              |0                |0              |
|SOI.INT.G3SOI.FUND.TRF.STATUS.CHANGE|SOI.INT.G3SOI.FUND.TRF.STATUS.CHANGE|0              |0             |0              |0                |0              |
|SOI.MEDREQ.INT.TW.RISKANDCOMPLIANCE.REGULATIONSANDCOMPLIANCE.REGULATORYCOMPLIANCE.V1_0|SOI.MEDREQ.INT.TW.RISKANDCOMPLIANCE.REGULATIONSANDCOMPLIANCE.REGULATORYCOMPLIANCE.V1_0|0              |0             |0              |0                |0              |
|SOI.MEDRES.INT.TW.RISKANDCOMPLIANCE.REGULATIONSANDCOMPLIANCE.REGULATORYCOMPLIANCE.V1_0|SOI.MEDRES.INT.TW.RISKANDCOMPLIANCE.REGULATIONSANDCOMPLIANCE.REGULATORYCOMPLIANCE.V1_0|0              |0             |0              |0                |0              |
|SOI.PUB.INT.FUNDTFRADD.FUNDTFRADDIMPL.P2P|SOI.PUB.INT.FUNDTFRADD.FUNDTFRADDIMPL.P2P|0              |0             |0              |0                |0              |
|SOI.PUB.INT.FUNDTFRADD.INST.FUNDTFRADDIMPL|SOI.PUB.INT.FUNDTFRADD.INST.FUNDTFRADDIMPL|0              |0             |0              |0                |0              |
|SOI.PUB.INT.FUNDTFRADD0001G3.FUNDTFRADDFUTUREDATED|SOI.PUB.INT.FUNDTFRADD0001G3.FUNDTFRADDFUTUREDATED|0              |0             |0              |0                |0              |
|SOI.PUB.INT.PAYSVC.FUNDTFRADD|SOI.PUB.INT.PAYSVC.FUNDTFRADD|0              |0             |0              |0                |0              |
|SOI.PUB.INT.PAYSVC.INST.FUNDTFRUPD|SOI.PUB.INT.PAYSVC.INST.FUNDTFRUPD|0              |0             |0              |0                |0              |
|SOI.REQ.ENT.ACCOUNTSVC   |SOI.REQ.ENT.ACCOUNTSVC   |0              |0             |0              |0                |0              |
|SOI.REQ.ENT.CHANNELSVC   |SOI.REQ.ENT.CHANNELSVC   |0              |0             |0              |0                |0              |
|SOI.REQ.ENT.FORMSVC      |SOI.REQ.ENT.FORMSVC      |0              |0             |0              |0                |0              |
|SOI.REQ.ENT.PAYMENT.FUNDTFRADD|SOI.REQ.ENT.PAYMENT.FUNDTFRADD|0              |0             |0              |0                |0              |
|SOI.REQ.ENT.SG.IWF.SOI.TRANSVC11|SOI.REQ.ENT.SG.IWF.SOI.TRANSVC11|0              |0             |0              |0                |0              |
|SOI.REQ.ENT.SUBSCRIPTION.ASYNC|SOI.REQ.ENT.SUBSCRIPTION.ASYNC|10             |0             |0              |0                |0              |
|SOI.REQ.ENT.SUBSCRIPTION.ASYNC_1|SOI.REQ.ENT.SUBSCRIPTION.ASYNC_1|0              |0             |0              |0                |0              |
|SOI.REQ.INQ.SG.REFERENCEDATA.PARTY.PARTYDATAMANAGEMENT.V1_1.ICAL|SOI.REQ.INQ.SG.REFERENCEDATA.PARTY.PARTYDATAMANAGEMENT.V1_1.ICAL|1              |0             |0              |0                |0              |
|SOI.REQ.INT.ABSP.MED1.FW2_3.V1|SOI.REQ.INT.ABSP.MED1.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.ADMN.SVC1.FW1_4.V1|SOI.REQ.INT.ADMN.SVC1.FW1_4.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.ALERTSVC.MED1.FW2_3.V1|SOI.REQ.INT.ALERTSVC.MED1.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.AlertSvc.SVC1.FW2_3.V1|SOI.REQ.INT.AlertSvc.SVC1.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.BIN.CSTMRBATCH.V1_1|SOI.REQ.INT.BIN.CSTMRBATCH.V1_1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.BIP.SVC1.FW1_2.V1|SOI.REQ.INT.BIP.SVC1.FW1_2.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.BOSSHK1.SVC1.FW1_5.V1|SOI.REQ.INT.BOSSHK1.SVC1.FW1_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBHK.MED2.FW1_4.V1|SOI.REQ.INT.CBHK.MED2.FW1_4.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBHK.MEDSVC1.FW1_4.V1|SOI.REQ.INT.CBHK.MEDSVC1.FW1_4.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBHK1_SVC1_FW1_5.V1_0|SOI.REQ.INT.CBHK1_SVC1_FW1_5.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBIN.ONL.ACCT|SOI.REQ.INT.CBIN.ONL.ACCT|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBIN.ONL.CUST|SOI.REQ.INT.CBIN.ONL.CUST|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBIN.ONL.TRAN|SOI.REQ.INT.CBIN.ONL.TRAN|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBSG1_MED1_FW1_4_v1_0|SOI.REQ.INT.CBSG1_MED1_FW1_4_v1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBSG2_MED1_FW1_4_v1_0|SOI.REQ.INT.CBSG2_MED1_FW1_4_v1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CBSG_SVC1_FW1_5_v1|SOI.REQ.INT.CBSG_SVC1_FW1_5_v1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CCVB.SVC1.FW1_5.V1|SOI.REQ.INT.CCVB.SVC1.FW1_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CCVBSG.MED1.FW2_3.V1|SOI.REQ.INT.CCVBSG.MED1.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CEP.MED1.FW2_3.V1|SOI.REQ.INT.CEP.MED1.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CEP.SVC1.FW2_3.V1|SOI.REQ.INT.CEP.SVC1.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CEP.SVC2.FW2_3.V1|SOI.REQ.INT.CEP.SVC2.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CEP.SVC3.FW2_3.V1|SOI.REQ.INT.CEP.SVC3.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CFM          |SOI.REQ.INT.CFM          |0              |0             |0              |0                |0              |
|SOI.REQ.INT.CFM.UPDATES.CACHEREFRESH.V1_0|SOI.REQ.INT.CFM.UPDATES.CACHEREFRESH.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CFM.V1_0     |SOI.REQ.INT.CFM.V1_0     |0              |0             |0              |0                |0              |
|SOI.REQ.INT.CHANNELSVC410|SOI.REQ.INT.CHANNELSVC410|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CIBP.SVC2.FW1_5.V1|SOI.REQ.INT.CIBP.SVC2.FW1_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CMA          |SOI.REQ.INT.CMA          |0              |0             |0              |0                |0              |
|SOI.REQ.INT.CMA.UPDATES.CACHEREFRESH.V1_0|SOI.REQ.INT.CMA.UPDATES.CACHEREFRESH.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CMA.V1_0     |SOI.REQ.INT.CMA.V1_0     |0              |0             |0              |0                |0              |
|SOI.REQ.INT.CN.PARTYDATAMANAGEMENT.V1_0.SD|SOI.REQ.INT.CN.PARTYDATAMANAGEMENT.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CN.PAYMENTSEXECUTION.V1_0.SD|SOI.REQ.INT.CN.PAYMENTSEXECUTION.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CRMH1.SVC1.FW1_5.V1|SOI.REQ.INT.CRMH1.SVC1.FW1_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CSTMR.ONL.TRAN.V1_1|SOI.REQ.INT.CSTMR.ONL.TRAN.V1_1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CSTMR.UPDATES.CACHEREFRESH.V1_0|SOI.REQ.INT.CSTMR.UPDATES.CACHEREFRESH.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CSTMR.V1_1   |SOI.REQ.INT.CSTMR.V1_1   |0              |0             |0              |0                |0              |
|SOI.REQ.INT.CSTMR_TRAN.V1_1|SOI.REQ.INT.CSTMR_TRAN.V1_1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.CUSTOMERMASTERBATCH.V1_1|SOI.REQ.INT.CUSTOMERMASTERBATCH.V1_1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.EMF          |SOI.REQ.INT.EMF          |0              |0             |0              |0                |0              |
|SOI.REQ.INT.EMF.UPDATES.CACHEREFRESH.V1_0|SOI.REQ.INT.EMF.UPDATES.CACHEREFRESH.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.EMF.V1_0     |SOI.REQ.INT.EMF.V1_0     |0              |0             |0              |0                |0              |
|SOI.REQ.INT.EPSP.MED1.FW2_5.V1|SOI.REQ.INT.EPSP.MED1.FW2_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.EPSP.SVC1.FW2_5.V1|SOI.REQ.INT.EPSP.SVC1.FW2_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.ESTMT.SVC1.FW1_3.V1|SOI.REQ.INT.ESTMT.SVC1.FW1_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.FDM.RETRY.V1_0|SOI.REQ.INT.FDM.RETRY.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.FDM.V1_0     |SOI.REQ.INT.FDM.V1_0     |0              |0             |0              |0                |0              |
|SOI.REQ.INT.FINIQHK1.SVC1.FW1_5.V1|SOI.REQ.INT.FINIQHK1.SVC1.FW1_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.GCSP.MED1.FW2_3.V1|SOI.REQ.INT.GCSP.MED1.FW2_3.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.GUI.MED1.FW1_4.V1|SOI.REQ.INT.GUI.MED1.FW1_4.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.GUI.SVC1.FW1_4.V1|SOI.REQ.INT.GUI.SVC1.FW1_4.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ALERTPROFILEAPPLICATION.V1_0|SOI.REQ.INT.HK.ALERTPROFILEAPPLICATION.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.BILLPAYEEMASTERAPPLICATION.V1_0|SOI.REQ.INT.HK.BILLPAYEEMASTERAPPLICATION.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.BILLPAYMENTAPPLICATION.V1_0|SOI.REQ.INT.HK.BILLPAYMENTAPPLICATION.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.BUSINESSSUPPORT.DOCUMENTMANAGEMENTANDARCHIVE.CORRESPONDENCE.V1_0.APIMHK|SOI.REQ.INT.HK.BUSINESSSUPPORT.DOCUMENTMANAGEMENTANDARCHIVE.CORRESPONDENCE.V1_0.APIMHK|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.BUSINESSSUPPORT.HRMANAGEMENT.EMPLOYEERECORD.V1_0.ISMOHK|SOI.REQ.INT.HK.BUSINESSSUPPORT.HRMANAGEMENT.EMPLOYEERECORD.V1_0.ISMOHK|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CARDAUTHORIZATION.V1_0.SD|SOI.REQ.INT.HK.CARDAUTHORIZATION.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CARDFACILITY.V1_0.SD|SOI.REQ.INT.HK.CARDFACILITY.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CBHKCUSTCACHE.SVC2.FW1_5.V1|SOI.REQ.INT.HK.CBHKCUSTCACHE.SVC2.FW1_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CHANNELLIMITAPPLICATION.V1_0|SOI.REQ.INT.HK.CHANNELLIMITAPPLICATION.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CONTACTHANDLER.V1_0.SD|SOI.REQ.INT.HK.CONTACTHANDLER.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CREDICARD_HK.V1_0.SD|SOI.REQ.INT.HK.CREDICARD_HK.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CUSTACCESSEMTILEMENT.V1_0.SD|SOI.REQ.INT.HK.CUSTACCESSEMTILEMENT.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CUSTOMERACCESSENTITLEMENT.V1_0.SD|SOI.REQ.INT.HK.CUSTOMERACCESSENTITLEMENT.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CUSTOMERCACHE.V1_0|SOI.REQ.INT.HK.CUSTOMERCACHE.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CUSTOMERONBOARDINGAPP.V1_0|SOI.REQ.INT.HK.CUSTOMERONBOARDINGAPP.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.CUSTOMERPROFILE.V1_0.SD|SOI.REQ.INT.HK.CUSTOMERPROFILE.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.DOCUMENTSERVICES.V1_0.SD|SOI.REQ.INT.HK.DOCUMENTSERVICES.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.DOCUMENTSERVICES_HK.V1_0.SD|SOI.REQ.INT.HK.DOCUMENTSERVICES_HK.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.EBRANCHMANAGEMENT.V4_0.IBHK|SOI.REQ.INT.HK.EBRANCHMANAGEMENT.V4_0.IBHK|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.EBRANCHMANAGEMNT.V1_0.SD|SOI.REQ.INT.HK.EBRANCHMANAGEMNT.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ESTATEMENTAPP.V1_0|SOI.REQ.INT.HK.ESTATEMENTAPP.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.FUNDTRANSFERAPPLICATION.V1_0|SOI.REQ.INT.HK.FUNDTRANSFERAPPLICATION.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.FUNDTRANSFERPAYEEAPPLICATION.V1_0|SOI.REQ.INT.HK.FUNDTRANSFERPAYEEAPPLICATION.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.HOLIDAYMASTERAPPLICATION.V1_0.IBHK|SOI.REQ.INT.HK.HOLIDAYMASTERAPPLICATION.V1_0.IBHK|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.INQPARTYPROD.FW1_0_V1|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.INQPARTYPROD.FW1_0_V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.INQPARTYPROF.FW1_0_V1|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.INQPARTYPROF.FW1_0_V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.ONBOARDPARTY.FW1_0_V1|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.ONBOARDPARTY.FW1_0_V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.PARTYPROFMOD.FW1_0_V1|SOI.REQ.INT.HK.ICALHK2.ORCHSVC2.PARTYPROFMOD.FW1_0_V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ICALHK2.SVC2.FW1_5.V1|SOI.REQ.INT.HK.ICALHK2.SVC2.FW1_5.V1|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ICALHK_SVC1_FW1_5.V1_0|SOI.REQ.INT.HK.ICALHK_SVC1_FW1_5.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ISSUEDDEVICEADMINISTRATION.V1_0.SD|SOI.REQ.INT.HK.ISSUEDDEVICEADMINISTRATION.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ISSUEDDEVICEADMINISTRATION.V1_0.SD.MED|SOI.REQ.INT.HK.ISSUEDDEVICEADMINISTRATION.V1_0.SD.MED|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.ISSUEDDEVICETRACKING.V1_0.SD|SOI.REQ.INT.HK.ISSUEDDEVICETRACKING.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.LOAN.V1_0.SD|SOI.REQ.INT.HK.LOAN.V1_0.SD|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.CARDS.CARDBILLINGANDPAYMENTS.V1_0.ISMOHK|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.CARDS.CARDBILLINGANDPAYMENTS.V1_0.ISMOHK|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.CARDS.CREDITCARD.V1_0.APIMHK|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.CARDS.CREDITCARD.V1_0.APIMHK|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.CONSUMERSERVICES.CONSUMERINVESTMENTS.V1_0|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.CONSUMERSERVICES.CONSUMERINVESTMENTS.V1_0|0              |0             |0              |0                |0              |
|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.OPERATIONALSERVICES.REWARDSPOINTSADMINISTRATION.V1_0|SOI.REQ.INT.HK.OPERATIONSANDEXECUTION.OPERATIONALSERVICES.REWARDSPOINTSADMINISTRATION.V1_0|0              |0             |0              |0                |0              |
